Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,30.200001,32.599998,30.200001,31.700001,14.839581,2205595
1/5/2010,31.4,32.360001,31.4,31.74,14.858309,1145495
1/6/2010,31.23,31.969999,31.110001,31.299999,14.65233,245595
1/7/2010,30.43,31.76,30.43,31.459999,14.727232,1439495
1/8/2010,30.4,31.969999,30.4,30.91,14.469761,335015
1/11/2010,31.6,32.880001,31.299999,31.99,14.975338,1331995
1/12/2010,32.400002,32.82,31.559999,32.02,14.989381,948720
1/13/2010,31.4,32.400002,31.4,32.07,15.012787,294575
1/14/2010,30.450001,33.560001,30.450001,32.939999,15.420057,2636490
1/15/2010,33.279999,33.599998,32.540001,32.740002,15.326431,797965
1/18/2010,31.65,34.48,30.84,34.310001,16.06139,3324665
1/19/2010,34.43,35.130001,33.900002,34.200001,16.009895,3137355
1/20/2010,33.25,34.98,33.25,34.049999,15.939678,2066185
1/21/2010,32.849998,36.09,32.849998,34.049999,15.939678,6972555
1/22/2010,32.639999,34.470001,32.639999,33.990002,15.911592,2054260
1/25/2010,30.74,34.869999,30.74,34.470001,16.136288,954275
1/27/2010,32.459999,34.369999,32.459999,33.75,15.799239,657960
1/28/2010,33.23,34.700001,32.619999,33.669998,15.761786,1190205
1/29/2010,33.049999,34.669998,32.400002,34.41,16.108202,658680
2/1/2010,33.25,34.759998,33.25,33.740002,15.79456,769160
2/2/2010,32.400002,34.389999,32.400002,33.5,15.682208,293820
2/3/2010,33.029999,36.98,33.029999,35.57,16.65123,10261570
2/4/2010,35.27,36.68,35.049999,35.400002,16.571646,3866020
2/5/2010,34.799999,35.139999,33.040001,34.650002,16.220551,1049015
2/8/2010,33,36.939999,33,36.23,16.96019,3333945
2/9/2010,35.639999,37.34,35.639999,36.209999,16.950827,1444835
2/10/2010,36.099998,36.779999,35.779999,36.139999,16.91806,982205
2/11/2010,36.200001,37.490002,35.900002,36.560001,17.114672,1804475
2/15/2010,36,36.48,35.200001,35.450001,16.595053,348220
2/16/2010,34.400002,35.91,34.400002,35.23,16.492064,353495
2/17/2010,36,36.400002,35.299999,35.43,16.58569,506885
2/18/2010,35.110001,35.779999,34.759998,34.939999,16.356304,188720
2/19/2010,34.209999,35,34.209999,34.77,16.276726,215075
2/22/2010,33.049999,36.529999,33.049999,34.939999,16.356304,2277570
2/23/2010,34.799999,36.400002,34.02,35.619999,16.674633,2428410
2/24/2010,33.650002,35.150002,33.650002,34.470001,16.136288,434960
2/25/2010,33.650002,34.700001,33.650002,34.049999,15.939678,115605
2/26/2010,32.599998,34.66,32.599998,34.310001,16.06139,197730
3/2/2010,34.029999,35.200001,34.029999,34.610001,16.201828,302090
3/3/2010,33.599998,35.560001,33.599998,34.650002,16.220551,534515
3/4/2010,34.040001,41.580002,34.040001,39.389999,18.439468,10218405
3/5/2010,39.439999,40.200001,38.439999,38.849998,18.186676,11930035
3/8/2010,39.34,40.700001,38.240002,39.959999,18.706299,4352045
3/9/2010,39.02,41.68,39.02,39.880001,18.66885,9352135
3/10/2010,39.779999,40.549999,38.400002,39.16,18.331797,1139610
3/11/2010,38.040001,39.599998,38.040001,38.41,17.980703,535825
3/12/2010,37.009998,39.200001,36.630001,37.240002,17.432997,792990
3/15/2010,37.509998,38.360001,36.130001,36.669998,17.166161,717915
3/16/2010,35.200001,40.66,35.200001,39.799999,18.631397,11201065
3/17/2010,40,40.549999,38.799999,39.650002,18.561182,4501150
3/18/2010,38.5,41.84,38.5,41.119999,19.249323,13022365
3/19/2010,41,42.27,40.02,41.049999,19.216555,8974680
3/22/2010,39.98,40.759998,38.810001,39.07,18.289663,2147875
3/23/2010,39.400002,41.290001,39.360001,40.130001,18.785881,4571915
3/25/2010,39,40.580002,39,40.279999,18.856098,976740
3/26/2010,39.25,40.740002,39,39.290001,18.392654,937580
3/29/2010,39.68,40.02,38.73,38.959999,18.238173,663055
3/30/2010,39.400002,39.98,38.029999,39.52,18.500324,930015
3/31/2010,39,40,39,39.07,18.289663,342365
4/1/2010,39.139999,40.68,39,39.669998,18.570541,1313145
4/5/2010,39.82,40.360001,39.259998,39.470001,18.476919,781080
4/6/2010,39,40.400002,39,39.330002,18.411381,852455
4/7/2010,39.48,42.360001,39.48,41.830002,19.581697,6298690
4/8/2010,42.099998,43.099998,39.630001,40.049999,18.748432,3852995
4/9/2010,40.419998,41.080002,40,40.360001,18.893551,1424105
4/12/2010,40.360001,40.779999,39.82,40.139999,18.79056,697375
4/13/2010,39.900002,41.290001,39.619999,40.860001,19.127609,2223070
4/15/2010,41.060001,41.240002,39.509998,39.709999,18.589268,608230
4/16/2010,38.669998,39.799999,38.669998,39.09,18.299028,677280
4/19/2010,36.200001,39.380001,36.200001,38.990002,18.252218,663380
4/20/2010,38.599998,40.490002,38.599998,39.82,18.64076,1408555
4/21/2010,40.240002,41.34,40.02,40.18,18.809286,1357715
4/22/2010,40.200001,40.470001,39.450001,39.650002,18.561182,392885
4/23/2010,39.5,39.970001,39.299999,39.619999,18.547134,259220
4/26/2010,40.189999,40.98,39.700001,39.91,18.682896,1113770
4/27/2010,39.5,40.580002,39.220001,39.669998,18.570541,829535
4/28/2010,39.599998,39.599998,38.5,38.830002,18.177317,318360
4/29/2010,38.080002,40.799999,38.080002,39.880001,18.66885,2101775
4/30/2010,40.200001,40.369999,39.41,39.490002,18.48628,333265
5/3/2010,39.400002,39.880001,39,39.220001,18.359884,656720
5/4/2010,38.669998,39.5,37.639999,37.860001,17.723238,405750
5/5/2010,37.259998,37.48,35.779999,35.959999,16.833797,1598095
5/6/2010,35.599998,36.68,35,35.18,16.46866,662865
5/7/2010,33.639999,35.599998,33.639999,34.200001,16.009895,1064635
5/10/2010,34.400002,35.799999,34.400002,34.939999,16.356304,1161445
5/11/2010,34.959999,35.580002,34.66,34.900002,16.337584,346785
5/12/2010,35.16,35.669998,34.400002,34.849998,16.314175,565645
5/13/2010,35.18,35.470001,34.720001,34.98,16.375032,520325
5/14/2010,34.799999,37.400002,34.599998,35.59,16.660589,4807295
5/17/2010,34.68,36.380001,34.68,35.84,16.777622,848830
5/18/2010,35.799999,37.040001,35.799999,36.610001,17.138079,795705
5/19/2010,36.009998,36.689999,34.639999,34.970001,16.370352,384915
5/20/2010,35.060001,35.560001,34.5,34.68,16.234592,327590
5/21/2010,33.540001,35.209999,33.259998,34.84,16.309496,353670
5/24/2010,35.869999,36.73,35.23,36.139999,16.91806,645205
5/25/2010,35.259998,36.279999,34.279999,35.32,16.534195,520085
5/26/2010,34.98,37.150002,34.98,35.959999,16.833797,1124905
5/27/2010,35.400002,37,35.400002,36.389999,17.035089,1014490
5/28/2010,35.599998,35.77,35.599998,35.77,16.744852,929465
5/31/2010,35.959999,36.470001,35.639999,35.91,16.810392,245425
6/1/2010,36.299999,36.299999,35.32,35.32,16.534195,192975
6/2/2010,35.439999,35.799999,35.02,35.23,16.492064,129565
6/3/2010,35.630001,36.139999,35.23,35.419998,16.581005,286315
6/4/2010,35.580002,35.860001,35.029999,35.139999,16.449934,205755
6/7/2010,34.419998,34.709999,33.599998,33.75,15.799239,514000
6/8/2010,33.400002,35.799999,33.400002,34.110001,15.967766,2145490
6/9/2010,34.23,34.830002,33.400002,33.619999,15.73838,1240660
6/10/2010,34,34.200001,33.470001,33.810001,15.827325,164480
6/11/2010,34.029999,34.259998,33.459999,33.630001,15.743064,202320
6/14/2010,34.040001,34.18,33.599998,33.66,15.757108,188480
6/15/2010,33.700001,34.98,32.650002,33.880001,15.860095,2125380
6/16/2010,34.25,34.25,33.240002,33.459999,15.663483,638075
6/17/2010,33.470001,34.049999,33.459999,33.799999,15.822642,415880
6/18/2010,33.970001,34.200001,33.040001,33.200001,15.541772,233150
6/21/2010,33.77,34.16,33.029999,33.549999,15.705613,656275
6/22/2010,33.740002,34.16,33.310001,33.439999,15.654119,420660
6/23/2010,33.41,33.959999,33,33.400002,15.635394,505010
6/24/2010,33.700001,33.900002,33.049999,33.150002,15.518365,487425
6/25/2010,33.150002,33.810001,33,33.080002,15.485596,463255
6/28/2010,33.700001,33.740002,33.02,33.099998,15.494955,246610
6/29/2010,33.16,33.669998,32.290001,32.490002,15.209402,523570
6/30/2010,32.380001,32.639999,31.690001,32.009998,14.9847,763975
7/1/2010,32.009998,32.080002,31.51,31.709999,14.844262,262220
7/2/2010,31.6,32.299999,31.42,31.719999,14.848946,296910
7/5/2010,32,32.200001,31.6,31.67,14.825537,270665
7/6/2010,32,32.900002,31.889999,32.349998,15.14386,812535
7/7/2010,32.349998,33.009998,32.07,32.580002,15.251533,658775
7/8/2010,32.759998,33.779999,32.630001,33.220001,15.551131,1177070
7/9/2010,33.400002,33.560001,33.009998,33.130001,15.509001,564810
7/12/2010,33.75,34.41,33.450001,33.599998,15.729018,849640
7/13/2010,34.040001,34.040001,33.459999,33.66,15.757108,215960
7/14/2010,33.400002,34,33.200001,33.389999,15.630713,204520
7/15/2010,33.400002,33.880001,33.029999,33.48,15.672845,356895
7/16/2010,33.259998,33.740002,32.700001,33.34,15.607307,135095
7/19/2010,33.200001,33.599998,33.029999,33.200001,15.541772,159075
7/20/2010,33.400002,33.700001,33.200001,33.27,15.574539,238150
7/21/2010,33.57,34.700001,33.25,33.91,15.874139,1126445
7/22/2010,33.82,34.400002,33.5,33.700001,15.775834,247115
7/23/2010,34.279999,34.360001,33.619999,33.740002,15.79456,466365
7/26/2010,34.639999,34.639999,33.200001,33.380001,15.626037,174010
7/27/2010,33.759998,34,33.200001,33.41,15.640075,196045
7/28/2010,33.310001,33.549999,32.900002,33.139999,15.51368,284280
7/29/2010,33.169998,33.580002,32.700001,32.889999,15.396651,384610
7/30/2010,32.610001,33.150002,32.610001,32.919998,15.410692,217995
8/2/2010,33.029999,33.400002,33,33.110001,15.499637,208995
8/3/2010,32.630001,33.34,32.630001,33.049999,15.47155,109935
8/4/2010,33,33.970001,33,33.509998,15.686888,1339770
8/5/2010,33.599998,33.889999,33.099998,33.34,17.427551,923120
8/6/2010,33.599998,34.200001,32.639999,32.93,17.213238,1512470
8/9/2010,32.43,33.18,31.030001,32.75,17.119146,267765
8/10/2010,32.889999,33.080002,32.599998,32.82,17.155739,184315
8/11/2010,32.779999,32.849998,32.110001,32.25,16.857784,211250
8/12/2010,31.959999,32.400002,31.610001,32.099998,16.779377,246730
8/13/2010,31.66,32.580002,31.66,32.310001,16.889151,147445
8/16/2010,32.380001,32.939999,32.32,32.709999,17.098238,827110
8/17/2010,32.709999,34.16,32.450001,33.560001,17.542553,1648020
8/18/2010,33.599998,34.82,33.400002,34.32,17.939819,2011750
8/19/2010,34.459999,34.799999,34.02,34.310001,17.934593,548450
8/20/2010,34.040001,36,34,35.07,18.33186,4120940
8/23/2010,35.360001,36.580002,35.220001,35.889999,18.760494,5282210
8/24/2010,36,37.799999,35.599998,37.139999,19.413895,6472975
8/25/2010,37.279999,37.580002,35.5,35.790001,18.708221,2296780
8/26/2010,36.009998,36.200001,34.849998,34.950001,18.269133,1011710
8/27/2010,34.900002,35.32,34.400002,34.560001,18.065275,514490
8/30/2010,34.599998,34.779999,33.639999,33.84,17.688915,315345
8/31/2010,33.799999,33.950001,32.939999,33.490002,17.50596,261145
9/1/2010,33.799999,34.400002,33.799999,34.110001,17.83005,320695
9/2/2010,34.529999,36.18,34.41,35.93,18.781403,4264105
9/3/2010,36.360001,38.34,36.360001,36.84,19.257078,15280630
9/6/2010,38.419998,40.799999,37.889999,39.810001,20.809566,15508685
9/7/2010,40,40.259998,39.07,39.27,20.527296,3470380
9/8/2010,39.27,39.389999,38.080002,38.630001,20.192751,1880180
9/9/2010,38.849998,39,38.200001,38.41,20.077751,1129490
9/13/2010,38.599998,39.889999,38.23,38.810001,20.286842,2501490
9/14/2010,39,39.150002,37.650002,37.860001,19.790255,622980
9/15/2010,37.860001,38.650002,37.200001,37.919998,19.821619,1093935
9/16/2010,37.799999,38.5,37.599998,37.700001,19.706617,820155
9/17/2010,38,38.450001,37.799999,38.080002,19.905254,601140
9/20/2010,38,38.869999,37.860001,38.48,20.114342,1067010
9/21/2010,38.799999,38.84,37.259998,37.490002,19.596849,504740
9/22/2010,37.619999,38.080002,36.93,37.540001,19.622986,317160
9/23/2010,37.75,37.93,36.91,37.18,19.434805,299730
9/24/2010,37.369999,38.580002,37.060001,38.32,20.030708,852215
9/27/2010,38,38.599998,37.82,37.950001,19.837301,346385
9/28/2010,38.169998,38.599998,37.459999,37.599998,19.654346,565460
9/29/2010,37.709999,38.099998,37.029999,37.389999,19.544577,239950
9/30/2010,37.75,37.75,36.709999,36.990002,19.335491,222720
10/1/2010,36.98,39.279999,36.98,38.34,20.041161,2034790
10/4/2010,38.43,38.68,37.650002,37.759998,19.737982,209195
10/5/2010,38.130001,38.639999,37.610001,38.139999,19.936617,387620
10/6/2010,38.040001,38.700001,37.459999,37.689999,19.701393,311810
10/7/2010,38.07,38.279999,36.82,37.029999,19.356398,409510
10/8/2010,37.110001,37.540001,36.419998,36.66,19.162992,692940
10/11/2010,36.68,37.540001,35.799999,36.52,19.089808,176420
10/12/2010,36.200001,38.68,36.200001,37.919998,19.821619,4919990
10/13/2010,37.799999,38.48,37.02,37.279999,19.487078,1041225
10/14/2010,37.400002,37.560001,36.57,36.759998,19.215261,429920
10/15/2010,36.779999,37.130001,36.259998,36.400002,19.027082,226360
10/18/2010,36.419998,36.419998,35.599998,35.84,18.734358,203505
10/19/2010,33,36.59,33,35.470001,18.540951,393780
10/20/2010,35.200001,35.599998,33.66,34.25,17.903229,1057035
